ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.2925,1.6594,9.5635,0.6462,1.316,9.6964,0.2866,1.0144,0.7138,-0.4645,0.5274,0.2198,5040.968,-5.96,7.82,-48.13,10.98,-7.71,-3.81,5,989.36,24.898,46.167843,15.85971,814.23,NaN,,1.91,36.906162,178.3,Aug-14,7,2022-08-01 07:13:29:798
0.4104,0.4971,10.3837,-0.4886,0.5548,9.7787,1.3757,0.3051,0.4735,-0.7065,0.2409,0.5504,5152.0054,-18.17,9.23,-46.05,60.36,-3.24,2.86,5,989.38,9.721,46.167843,15.85971,814.23,NaN,,1.91,36.906162,178.3,Aug-14,507,2022-08-01 07:13:30:298
-0.2381,1.6158,7.3412,-0.4146,0.1965,9.7959,0.8055,-1.6224,4.8906,0.0861,-0.068,-0.1455,5841.99,-7.16,16.63,-44.91,26.44,-1.15,2.42,5,989.37,10.796,46.167847,15.859758,833.35,NaN,,4.57,26.071192,5.8,Sep-17,1007,2022-08-01 07:13:30:798
-1.054,0.9254,6.4881,-1.6419,0.444,9.658,-2.0194,-1.6391,6.9604,0.1053,0.526,0.6832,5287.0054,-2.87,15.21,-46.05,23.87,-3.41,6.04,5,989.39,14.375,46.167847,15.859758,833.35,NaN,,4.57,26.071192,5.8,Sep-17,1507,2022-08-01 07:13:31:298
-1.9669,2.6399,9.396,-0.7569,0.6781,9.7538,0.6638,-0.5715,4.7596,-0.1092,-0.3525,-0.9168,5451.0303,-0.75,13.01,-46.95,15.96,-3.97,4.44,5,989.4,9.951,46.167816,15.859824,817.15,NaN,,4.93,21.847197,350.9,Nov-17,2007,2022-08-01 07:13:31:798
-0.7137,0.2961,9.8626,-0.357,1.3141,9.7117,-0.7452,-1.1785,4.9117,-0.7965,0.2108,0.0093,5133.983,-2.16,13.65,-46.43,10.44,-7.7,2.11,5,989.41,18.84,46.167816,15.859824,817.15,NaN,,4.93,21.847197,350.9,Nov-17,2507,2022-08-01 07:13:32:298
-0.9954,0.3021,16.1181,-1.136,0.3824,9.7331,0.4048,0.3242,0.4398,-0.8078,0.0393,-0.8474,5566.995,-0.73,13.48,-47.42,23.51,-2.23,6.66,5,989.42,19.22,46.167843,15.859845,837.51,NaN,,5.87,14.02602,16.7,Nov-17,3007,2022-08-01 07:13:32:798
-1.1623,-0.2614,11.0219,-1.9171,0.6288,9.5969,-1.5614,-0.6232,0.3461,-0.1143,-0.8286,0.0564,6833.0254,0.98,15.64,-46.16,26.85,-5.97,14.33,5,989.43,9.691,46.167843,15.859845,837.51,NaN,,5.87,14.02602,16.7,Nov-17,3507,2022-08-01 07:13:33:298
-1.4853,1.8173,12.0682,-1.0223,1.221,9.6765,1.0978,0.8219,1.7906,-0.5137,-0.0783,-0.622,5562,0.71,12.66,-46.82,11.89,-7.15,6.03,5,989.44,7.414,46.167866,15.859824,837.16,NaN,,5.9,13.923487,6.2,Nov-17,4007,2022-08-01 07:13:33:798
-2.2965,-2.6315,18.0293,-1.2766,0.7429,9.6948,-1.0558,-2.0131,7.5463,-0.4481,0.0727,0.2918,6176.9927,-0.22,13.8,-46.46,19.03,-4.34,7.5,5,989.47,5.15,46.167866,15.859824,837.16,NaN,,5.9,13.923487,6.2,Nov-17,4507,2022-08-01 07:13:34:298
